Unnamed: 0,question,answer,questions_german,answers_german
3075,"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?,"dann fügen Sie Butter, Salz und Pfeffer hinzu.","ich habe alle diese Dosen Tomatensoße, die Sie für"
3076,my girlfriend's mom got mad at me at the dinner table.,why was that?,Die Mutter meiner Freundin hat mich an der Abendtisch verrückt.,Warum war das?
3077,why was that?,i sprinkled salt and pepper on the food before i tasted it.,Warum war das?,"ich habe Salz und Pfeffer auf das Essen gespürt, bevor"
3078,i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?,"ich habe Salz und Pfeffer auf das Essen gespürt, bevor",Was ist damit zu tun?
3079,what's the matter with that?,her mom is a great cook.,Was ist damit zu tun?,Ihre Mutter ist ein großer Koch.
3080,her mom is a great cook.,"so, a little salt and pepper never hurt anything.",Ihre Mutter ist ein großer Koch.,"so, ein wenig Salz und Pfeffer nie schaden nichts."
3081,"so, a little salt and pepper never hurt anything.",it hurt her feelings.,"so, ein wenig Salz und Pfeffer nie schaden nichts.",es schmerzt ihre Gefühle.
3082,it hurt her feelings.,oh.,es schmerzt ihre Gefühle.,oh.
3083,oh.,"i apologized to her, but i could tell she was still upset.",oh.,"ich entschuldige mich für ihr, aber ich konnte sagen, sie war immer"
3084,"i apologized to her, but i could tell she was still upset.",maybe you shouldn't eat there again.,"ich entschuldige mich für ihr, aber ich konnte sagen, sie war immer",Vielleicht sollten Sie dort nicht wieder essen.
3085,maybe you shouldn't eat there again.,i'm sure everything will be okay in a day or two.,Vielleicht sollten Sie dort nicht wieder essen.,i'm sure everything will be okay in a day or two.
3086,i'm sure everything will be okay in a day or two.,it's your girlfriend's fault. she should have warned you.,i'm sure everything will be okay in a day or two.,"es ist Ihre Freundin schuld, sie hätte Sie gewarnt haben."
3087,i eat the same thing every day.,you're kidding.,"ich essen das gleiche, jeden Tag.",Sie sind schnappt.
3088,you're kidding.,"no, i'm serious.",Sie sind schnappt.,"Nein, ich bin ernst."
3089,"no, i'm serious.",doesn't that get old?,"Nein, ich bin ernst.",ändert sich das nicht?
3090,doesn't that get old?,"no, because i'm eating food that i like.",ändert sich das nicht?,"Leider hat es keinen guten Eindruck, dass ich es"
3091,"no, because i'm eating food that i like.",but the same thing day after day gets old.,"Leider hat es keinen guten Eindruck, dass ich es",Allerdings wird das gleiche Tag für Tag alt.
3092,but the same thing day after day gets old.,"well, i guess if it ever does get old, i'll change to something different.",Allerdings wird das gleiche Tag für Tag alt.,"ich nehme an, wenn es jemals alt wird, werde ich"
3093,"well, i guess if it ever does get old, i'll change to something different.",do you eat fruits and vegetables every day?,"ich nehme an, wenn es jemals alt wird, werde ich",essen Sie täglich Obst und Gemüse?
3094,do you eat fruits and vegetables every day?,"no, i hate vegetables.",essen Sie täglich Obst und Gemüse?,"ich habe es nicht geschafft, ich habe es mit Gemüse zu"
3095,"no, i hate vegetables.",but you eat fruits.,"ich habe es nicht geschafft, ich habe es mit Gemüse zu",sondern Sie essen Früchte.
3096,but you eat fruits.,"i eat two apples, one banana, and one orange every day.",sondern Sie essen Früchte.,"ich essen täglich zwei pfel, eine Banane und eine Orange."
3097,"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that.","ich essen täglich zwei pfel, eine Banane und eine Orange.",es ist nicht schief.
3098,there's something wrong with my orange.,what's wrong?,es ist etwas falsch mit meinem Orange.,Was ist falsch?
3099,what's wrong?,it's not orange!,Was ist falsch?,es ist nicht orange!
3100,it's not orange!,your orange isn't orange?,es ist nicht orange!,Ihr Orange ist nicht orange?
3101,your orange isn't orange?,"no, it's dark pink!",Ihr Orange ist nicht orange?,"ne, es ist dunkel pink!"
3102,"no, it's dark pink!",are you sure? i never heard of such a thing.,"ne, es ist dunkel pink!","Ich habe es nicht gesehen, wenn ich es sage,"
3103,are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now.","Ich habe es nicht gesehen, wenn ich es sage,","ich habe es gerade geholt, und ich schaue e"
3104,"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink.","ich habe es gerade geholt, und ich schaue e","ich sage es, ich habe recht, ich habe"
3105,"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?,"ich sage es, ich habe recht, ich habe",wer je von einem solchen Geschehen gehört hat?
3106,who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel.",wer je von einem solchen Geschehen gehört hat?,"oh, schaut euch doch mal mal mal vorbei, es ist ein"
3107,"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?,"oh, schaut euch doch mal mal mal vorbei, es ist ein",Was kommt diese Welt?
3108,what is this world coming to?,who knows? maybe soon we'll have pink bananas.,Was kommt diese Welt?,Vielleicht werden wir bald rosa Bananen haben.
3109,i love peanuts.,"me, too. i love them roasted and salted.",ich liebe Peanuts.,Ich liebe sie geröstet und saltiert.
3110,"me, too. i love them roasted and salted.",i love boiled peanuts.,Ich liebe sie geröstet und saltiert.,ich liebe kochte Peanuts.
3111,i love boiled peanuts.,boiled? i never heard of that.,ich liebe kochte Peanuts.,ich habe es nie gesehen.
3112,boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.,ich habe es nie gesehen.,"kochen Sie einfach rohe Peanuts in Salzwasser, bis die Schale"
3113,just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.,"kochen Sie einfach rohe Peanuts in Salzwasser, bis die Schale",ich werde sie irgendwann ausprobieren müssen.
3114,i'll have to try them sometime.,they're best when they're hot.,ich werde sie irgendwann ausprobieren müssen.,"es ist am besten, wenn sie heiß sind."
3115,they're best when they're hot.,my brother is allergic to peanuts.,"es ist am besten, wenn sie heiß sind.",Mein Bruder ist allergisch auf Peanuts.
3116,my brother is allergic to peanuts.,that's not good.,Mein Bruder ist allergisch auf Peanuts.,Das ist nicht gut.
3117,that's not good.,"no, it isn't. he almost died when he was little.",Das ist nicht gut.,
3118,"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.,,"ich nehme an, er muss sehr vorsichtig sein, was er"
3119,i guess he has to be very careful about what he eats.,he has a very strict diet.,"ich nehme an, er muss sehr vorsichtig sein, was er",er hat eine sehr strenge Ernährung.
3120,i'm gaining weight.,how much have you gained?,ich gewinne Gewicht.,wie viel haben Sie gewonnen?
3121,how much have you gained?,three pounds just this month.,wie viel haben Sie gewonnen?,Drei Pfund erst in diesem Monat.
3122,three pounds just this month.,do you know why?,Drei Pfund erst in diesem Monat.,"wüssten Sie, warum?"
3123,do you know why?,i think it's the ice cream.,"wüssten Sie, warum?","ich glaube, es ist die Eiscreme."
3124,i think it's the ice cream.,you started eating ice cream?,"ich glaube, es ist die Eiscreme.","Sie haben angefangen, Eis zu essen?"
3125,you started eating ice cream?,it was on sale.,"Sie haben angefangen, Eis zu essen?",es war im Verkauf.
3126,it was on sale.,how much did you buy?,es war im Verkauf.,Wie viel haben Sie gekauft?
3127,how much did you buy?,i filled up my freezer with ice cream.,Wie viel haben Sie gekauft?,ich habe meinen Gefrierschrank mit Eis gefüllt.
3128,i filled up my freezer with ice cream.,"well, it won't last forever.",ich habe meinen Gefrierschrank mit Eis gefüllt.,es wird nicht für immer dauern.
3129,"well, it won't last forever.","no, i figure i'll finish it all by next week.",es wird nicht für immer dauern.,"ich halte es für fertig, bis nächste Woche."
3130,"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale.","ich halte es für fertig, bis nächste Woche.","dann können Sie anfangen, Gewicht zu verlieren, wenn es keinen weiteren Verkauf gibt"
3131,i'm stuffed.,of course you are. you ate everything on the table.,ich bin gefüllt.,"Natürlich sind Sie, Sie haben alles auf dem Tisch essen."
3132,of course you are. you ate everything on the table.,i don't like to eat leftovers.,"Natürlich sind Sie, Sie haben alles auf dem Tisch essen.",ich muß es nicht essen.
3133,i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.,ich muß es nicht essen.,"ich bin froh, dass es etwas gibt, was man nicht essen"
3134,i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.,"ich bin froh, dass es etwas gibt, was man nicht essen",ich mag meine Speisen heiß und frisch.
3135,i like my food hot and fresh.,you like to see it disappear.,ich mag meine Speisen heiß und frisch.,"Sie möchten, dass es verschwindet."
3136,you like to see it disappear.,i don't like it reheated.,"Sie möchten, dass es verschwindet.","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3137,i don't like it reheated.,"well, you'll have hot fresh food tomorrow night.","Sehr freundliches Personal, freundliches Personal, freundliches Personal",es gibt es auch abends heiße frische Speisen.
3138,"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.,es gibt es auch abends heiße frische Speisen.,"ich bin so voll, ich werde platzieren."
3139,i'm so full i'm going to burst.,you should loosen your belt.,"ich bin so voll, ich werde platzieren.",Sie sollten den Gürtel lockern.
3140,you should loosen your belt.,i already loosened my belt and unbuttoned my pants.,Sie sollten den Gürtel lockern.,ich habe meinen Gürtel schon lockert und meine Hosen nicht gestopf
3141,i already loosened my belt and unbuttoned my pants.,"well, don't stand up, please.",ich habe meinen Gürtel schon lockert und meine Hosen nicht gestopf,"es ist nicht erwünscht, bitte."
3142,i saw what you did.,i didn't do anything.,"ich sah, was du getan hast.",i was a little disappointed.
3143,i didn't do anything.,"oh yes, you did.",i was a little disappointed.,"oh ja, Sie haben es getan."
3144,"oh yes, you did.",what are you talking about?,"oh ja, Sie haben es getan.",wovon sprechen Sie?
3145,what are you talking about?,you know what i'm talking about.,wovon sprechen Sie?,"Sie wissen, wovon ich spreche."
3146,you know what i'm talking about.,i don't have any idea.,"Sie wissen, wovon ich spreche.",ich habe keine Ahnung.
3147,i don't have any idea.,you know what you did.,ich habe keine Ahnung.,"Sie wissen, was Sie getan haben."
3148,you know what you did.,"maybe i know, but how could you know?","Sie wissen, was Sie getan haben.","Vielleicht weiß ich, aber wie konntet ihr wissen?"
3149,"maybe i know, but how could you know?",because i was watching you.,"Vielleicht weiß ich, aber wie konntet ihr wissen?",ich habe mich beim ersten Mal auf die ersten beiden Seiten beschränkt.
3150,because i was watching you.,"okay, i'm sorry i did it.",ich habe mich beim ersten Mal auf die ersten beiden Seiten beschränkt.,"ich habe es gesehen, aber ich habe es gesehen."
3151,"okay, i'm sorry i did it.",don't drink milk out of the carton. use a glass!,"ich habe es gesehen, aber ich habe es gesehen.",- es gibt keinen großen großen großen großen großen
3152,don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.,- es gibt keinen großen großen großen großen großen,"ich verspreche, dass ich nie wieder aus der Karton trinken"
3153,i like that shirt.,so do i.,Ich mag dieses Hemd.,so tun i.
3154,so do i.,how much is it?,so tun i.,wie viel ist es?
3155,how much is it?,i don't know. the tag is missing.,wie viel ist es?,"ich weiß nicht, das tag fehlt."
3156,i don't know. the tag is missing.,ask the clerk.,"ich weiß nicht, das tag fehlt.",fragen Sie den Angestellten.
3157,ask the clerk.,i will.,fragen Sie den Angestellten.,Ich werde das tun.
3158,i will.,"oh, look. here's another shirt just like it.",Ich werde das tun.,"oh, schaut, hier ist ein weiteres Shirt wie es"
3159,"oh, look. here's another shirt just like it.",does it have a price tag?,"oh, schaut, hier ist ein weiteres Shirt wie es",hat es einen Preis?
3160,does it have a price tag?,"yes, it does. it's only $20.",hat es einen Preis?,"Leider ist es nicht so gut, aber es ist nur 20$."
3161,"yes, it does. it's only $20.",that's a great price.,"Leider ist es nicht so gut, aber es ist nur 20$.",Das Hotel ist sehr zentral gelegen und hat eine gute Lage.
3162,that's a great price.,i think i'll buy both of them.,Das Hotel ist sehr zentral gelegen und hat eine gute Lage.,"ich glaube, ich werde beide kaufen."
3163,i think i'll buy both of them.,you'd better try them on first.,"ich glaube, ich werde beide kaufen.",Sie sollten sie besser auf den ersten Versuch.
3164,i bought you a pair of pants.,thank you.,ich habe dir ein Paar Hosen gekauft.,Vielen Dank.
3165,thank you.,i hope they fit.,Vielen Dank.,"ich hoffe, sie passen."
3166,i hope they fit.,i hope you kept the receipt.,"ich hoffe, sie passen.","ich hoffe, Sie haben die Rezeption erhalten."
3167,i hope you kept the receipt.,you think they won't fit?,"ich hoffe, Sie haben die Rezeption erhalten.","Sie denken, sie werden nicht passen?"
3168,you think they won't fit?,i think i've put on some weight.,"Sie denken, sie werden nicht passen?","ich glaube, ich habe etwas Gewicht gesetzt."
3169,i think i've put on some weight.,you think?,"ich glaube, ich habe etwas Gewicht gesetzt.",denken Sie?
3170,you think?,maybe a pound or two.,denken Sie?,vielleicht ein Pfund oder zwei.
3171,maybe a pound or two.,maybe four or five pounds?,vielleicht ein Pfund oder zwei.,vielleicht vier oder fünf Pfund?
3172,maybe four or five pounds?,my waist is bigger than it was.,vielleicht vier oder fünf Pfund?,ich bin ziemlich störend und ich habe mich sehr wohl gefühl
3173,my waist is bigger than it was.,no problem. these pants have an elastic waistband.,ich bin ziemlich störend und ich habe mich sehr wohl gefühl,Dieser hat eine elastische Taille.
3174,no problem. these pants have an elastic waistband.,you are so smart!,Dieser hat eine elastische Taille.,Sie sind so klug!
3175,what do we need to buy?,let me look at our list.,Was brauchen wir zu kaufen?,Lassen Sie mich unsere Liste ansehen.
3176,let me look at our list.,i know that we need milk.,Lassen Sie mich unsere Liste ansehen.,"Ich weiß, dass wir Milch brauchen."
3177,i know that we need milk.,nonfat.,"Ich weiß, dass wir Milch brauchen.",nonfat.
3178,nonfat.,of course. what else?,nonfat.,Was ist natürlich noch?
3179,of course. what else?,"we need cheese, bread, and ham.",Was ist natürlich noch?,"Wir brauchen Käse, Brot und Schinken."
3180,"we need cheese, bread, and ham.",what kind of cheese?,"Wir brauchen Käse, Brot und Schinken.",Welche Art von Käse?
3181,what kind of cheese?,swiss.,Welche Art von Käse?,schweizerisch.
3182,swiss.,"of course, the cheese with holes in it.",schweizerisch.,"Natürlich, der Käse mit Löchern in ihm."
3183,"of course, the cheese with holes in it.",i never used to buy swiss cheese.,"Natürlich, der Käse mit Löchern in ihm.",The hotel is very clean and the staff are very helpful.
3184,i never used to buy swiss cheese.,why not?,The hotel is very clean and the staff are very helpful.,Warum nicht?
3185,why not?,i didn't want to pay for the holes.,Warum nicht?,i was a bit stymied and i was a bit
3186,i need some pants.,i thought you just bought a pair.,ich brauche einige Hosen.,"ich dachte, Sie haben gerade ein Paar gekauft."
3187,i thought you just bought a pair.,i did.,"ich dachte, Sie haben gerade ein Paar gekauft.",ich habe es getan.
3188,i did.,what's wrong with them so soon?,ich habe es getan.,Was ist mit ihnen so bald falsch?
3189,what's wrong with them so soon?,"the pants are fine, but the pocket has a huge hole in it.",Was ist mit ihnen so bald falsch?,"Die Hosen sind gut, aber die Tasche hat ein riesiges Loch in ihr"
3190,"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.,"Die Hosen sind gut, aber die Tasche hat ein riesiges Loch in ihr",Sie sollten Ihre Schlüssel und Stifte nicht in Ihre Tasche tragen.
3191,you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.,Sie sollten Ihre Schlüssel und Stifte nicht in Ihre Tasche tragen.,aber dafür sind Taschen.
3192,but that's what pockets are for.,you should carry them in a purse.,aber dafür sind Taschen.,Sie sollten sie in eine Geldschale tragen.
3193,you should carry them in a purse.,"i'm a man, and men don't carry purses!",Sie sollten sie in eine Geldschale tragen.,"ich bin ein Mann, und Männer tragen keine Geldbeutel!"
3194,"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets.","ich bin ein Mann, und Männer tragen keine Geldbeutel!","es ist gut, Sie sollten Hosen mit stärkeren Taschen kaufen."
3195,"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.,"es ist gut, Sie sollten Hosen mit stärkeren Taschen kaufen.","ich würde es gerne finden, wenn ich jemanden finden könnte, der"
3196,i would if i could find someone who makes strong pockets.,try a google search online.,"ich würde es gerne finden, wenn ich jemanden finden könnte, der",Versuchen Sie eine Google-Suche online.
3197,what are those wipes for?,you use them to wipe the handle of the shopping cart.,wofür sind diese Tücher?,"Sie benutzen sie, um den Handgriff des Warenkorbs zu tilgen."
3198,you use them to wipe the handle of the shopping cart.,that's a great idea.,"Sie benutzen sie, um den Handgriff des Warenkorbs zu tilgen.",Das ist eine tolle Idee.
3199,that's a great idea.,"yes, all the markets just started offering wipes to shoppers.",Das ist eine tolle Idee.,"ja, alle Märkte haben gerade begonnen, den Käufern die Würfel anzubie"
3200,"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.,"ja, alle Märkte haben gerade begonnen, den Käufern die Würfel anzubie",ich werde fünf Würfel nehmen.
3201,i'm going to take five wipes.,what do you need five of them for?,ich werde fünf Würfel nehmen.,Was brauchen Sie von ihnen fünf?
3202,what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce.",Was brauchen Sie von ihnen fünf?,"- ein, um den Griff zu tilgen, und die anderen, um die"
3203,"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?,"- ein, um den Griff zu tilgen, und die anderen, um die",Was ist die Sache mit der Produktion?
3204,what's the matter with the produce?,do you think the bananas fell from the sky?,Was ist die Sache mit der Produktion?,"Glauben Sie, die Bananen sind vom Himmel gefallen?"
3205,do you think the bananas fell from the sky?,what do you mean?,"Glauben Sie, die Bananen sind vom Himmel gefallen?",Was meinen Sie?
3206,what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.",Was meinen Sie?,"ich meine, jemand hat seine schmutzigen Hände verwendet, um die Banan"
3207,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","well, you better save a wipe for the dirty dollar bills you're going to pay with.","ich meine, jemand hat seine schmutzigen Hände verwendet, um die Banan","es ist besser, einen Würfel für die schmutzigen Dollar-Kauf"
3208,did you go to the 99 cents store?,"yes, i did.",hatt ihr in den 99 Cent-Shop gegangen?,"ja, ich habe es getan."
3209,"yes, i did.",what did you buy?,"ja, ich habe es getan.",Was haben Sie gekauft?
3210,what did you buy?,"well, i got a lot of good deals, as usual.",Was haben Sie gekauft?,"i was a bit stymied, but i was a"
3211,"well, i got a lot of good deals, as usual.",like what?,"i was a bit stymied, but i was a",wie was?
3212,like what?,"well, a dozen large eggs were only 99 cents.",wie was?,es war ein Dutzend große Eier nur 99 Cent.
3213,"well, a dozen large eggs were only 99 cents.",that's a good deal.,es war ein Dutzend große Eier nur 99 Cent.,Das ist ein guter Teil.
3214,that's a good deal.,and a one-pound tub of soft butter was the same price.,Das ist ein guter Teil.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3215,and a one-pound tub of soft butter was the same price.,another good deal.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",noch viel zu teuer.
3216,another good deal.,but the best deal was five pounds of potatoes for 99 cents.,noch viel zu teuer.,aber der beste Deal war fünf Pfund Kartoffeln für 99 Cent.
3217,but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.,aber der beste Deal war fünf Pfund Kartoffeln für 99 Cent.,"ich weiß nicht, wie dieser Geschäft Geld macht."
3218,i don't know how that store makes money.,"neither do i, but they're doing something right.","ich weiß nicht, wie dieser Geschäft Geld macht.","ich sage es nicht, aber sie tun etwas Richtiges."
3219,i need a new computer.,what's the matter with yours?,i need a new computer.,Was ist die Sache mit Ihrer?
3220,what's the matter with yours?,it's six years old.,Was ist die Sache mit Ihrer?,Es ist sechs Jahre alt.
3221,it's six years old.,that's pretty old.,Es ist sechs Jahre alt.,Das ist ziemlich alt.
3222,that's pretty old.,"it still works, but i'm going to give it to a charity.",Das ist ziemlich alt.,"es funktioniert noch, aber ich werde es einer Wohltätigkeitsorganisation geben"
3223,"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?,"es funktioniert noch, aber ich werde es einer Wohltätigkeitsorganisation geben",Werden Sie einen Desktop oder einen Laptop kaufen?
3224,are you going to buy a desktop or laptop?,"oh, a laptop, of course.",Werden Sie einen Desktop oder einen Laptop kaufen?,"oh, ein Laptop, natürlich."
3225,"oh, a laptop, of course.",a pc or a mac?,"oh, ein Laptop, natürlich.",a pc oder a mac?
3226,a pc or a mac?,i haven't decided yet.,a pc oder a mac?,ich habe mich noch nicht entschieden.
3227,i haven't decided yet.,more and more people are using macs.,ich habe mich noch nicht entschieden.,Immer mehr Leute verwenden Macs.
3228,more and more people are using macs.,but 90 percent of the world uses pcs.,Immer mehr Leute verwenden Macs.,", aber 90 Prozent der Welt verwendet pcs."
3229,but 90 percent of the world uses pcs.,and that's not going to change anytime soon.,", aber 90 Prozent der Welt verwendet pcs.",und das wird sich nicht so bald ändern.
3230,i got ripped off.,what happened?,ich habe mich erschüttert.,Was ist passiert?
3231,what happened?,"i had a car problem, so i went online.",Was ist passiert?,"i had a car problem, so i went online."
3232,"i had a car problem, so i went online.",did you find a solution?,"i had a car problem, so i went online.",hat man eine Lösung gefunden?
3233,did you find a solution?,"yes, i did. a site i went to said they would send me the solution.",hat man eine Lösung gefunden?,"i was a bit stylish, but i was a"
3234,"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?","i was a bit stylish, but i was a","also, was ist das Problem?"
3235,"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution.","also, was ist das Problem?","ich schickte sie 20 Dollar mit meiner Kreditkarte, aber sie schickte mir"
3236,"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?,"ich schickte sie 20 Dollar mit meiner Kreditkarte, aber sie schickte mir",Was werden Sie tun?
3237,what are you going to do?,i sent them an email asking for my money back.,Was werden Sie tun?,"ich schickte ihnen eine E-Mail, um mein Geld zurückzufordern."
3238,i sent them an email asking for my money back.,have you heard from them?,"ich schickte ihnen eine E-Mail, um mein Geld zurückzufordern.",Haben Sie von ihnen gehört?
3239,have you heard from them?,not yet. it's been a week.,Haben Sie von ihnen gehört?,Leider ist es noch eine Woche.
3240,not yet. it's been a week.,"well, i guess that's a $20 lesson for you.",Leider ist es noch eine Woche.,"ich nehme an, dass es sich um eine 20-prozentige"
3241,where's the pencil sharpener?,which one?,wo ist der Stiftstreicher?,welches?
3242,which one?,any one. i need to sharpen this pencil.,welches?,ich muß diesen Stift schärfen.
3243,any one. i need to sharpen this pencil.,i think there's one on the dining room table.,ich muß diesen Stift schärfen.,The room was very clean and the room was very clean.
3244,i think there's one on the dining room table.,i already looked there.,The room was very clean and the room was very clean.,ich habe mich schon dort gesehen.
3245,i already looked there.,did you look in the desk drawer?,ich habe mich schon dort gesehen.,schaute man in der Schreibtischschalter?
3246,did you look in the desk drawer?,"yes, i looked there, too.",schaute man in der Schreibtischschalter?,"ja, ich schaute auch dort."
3247,"yes, i looked there, too.",don't we have about five sharpeners?,"ja, ich schaute auch dort.",hat man nicht etwa fünf Schärfe?
3248,don't we have about five sharpeners?,"yes, but they seem to have legs.",hat man nicht etwa fünf Schärfe?,"ja, aber sie scheinen Beine zu haben."
3249,"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.,"ja, aber sie scheinen Beine zu haben.",morgen werde ich einen elektrischen Schärfen kaufen.
3250,tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.,morgen werde ich einen elektrischen Schärfen kaufen.,erhalte eine mit den Gummisaugtassen am Boden.
3251,get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.,erhalte eine mit den Gummisaugtassen am Boden.,"ich habe es gesehen, wenn ich es sage,"
3252,i'm trying to stretch my dollars.,how are you doing that?,"ich versuche, meine Dollars zu senken.",Wie handeln Sie das?
3253,how are you doing that?,i started shopping at the dollar store.,Wie handeln Sie das?,i was very happy with the service and the staff were very helpful.
3254,i started shopping at the dollar store.,that saves a lot of money.,i was very happy with the service and the staff were very helpful.,", die viel Geld spart."
3255,that saves a lot of money.,i bought three pounds of potatoes for a dollar.,", die viel Geld spart.",ich habe drei Pfund Kartoffeln für einen Dollar gekauft.
3256,i bought three pounds of potatoes for a dollar.,that's a good deal.,ich habe drei Pfund Kartoffeln für einen Dollar gekauft.,Das ist ein guter Teil.
3257,that's a good deal.,"yes, even though some of the potatoes had eyes.",Das ist ein guter Teil.,"ja, obwohl einige der Kartoffeln Augen hatten."
3258,"yes, even though some of the potatoes had eyes.",just put them in the fridge.,"ja, obwohl einige der Kartoffeln Augen hatten.","- ich habe es nicht geschafft, es hat mir"
3259,just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee.","- ich habe es nicht geschafft, es hat mir","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3260,"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",Warum haben Sie das getan?
3261,why did you do that?,i mixed them together.,Warum haben Sie das getan?,ich mischte sie zusammen.
3262,i mixed them together.,"if the coffee still tastes okay, that's a good idea.",ich mischte sie zusammen.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3263,i really like this house.,can we afford it?,ich mag dieses Haus wirklich.,Können wir uns das leisten?
3264,can we afford it?,they want 20 percent down.,Können wir uns das leisten?,sie wollen 20 Prozent senken.
3265,they want 20 percent down.,that's a lot of money.,sie wollen 20 Prozent senken.,Das ist viel Geld.
3266,that's a lot of money.,but the house is so nice.,Das ist viel Geld.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal"
3267,but the house is so nice.,it's in a great neighborhood.,"Sehr freundliches Personal, freundliches Personal, freundliches Personal",The hotel is very clean and the staff were very helpful.
3268,it's in a great neighborhood.,it's close to the beach.,The hotel is very clean and the staff were very helpful.,The hotel is very close to the beach.
3269,it's close to the beach.,it's close to the freeways.,The hotel is very close to the beach.,The hotel is very close to the city centre.
3270,it's close to the freeways.,it's got a big yard.,The hotel is very close to the city centre.,es hat einen großen Hof.
3271,it's got a big yard.,"the kids love the house, too.",es hat einen großen Hof.,die Kinder lieben auch das Haus.
3272,"the kids love the house, too.","if we don't buy it, someone else will.",die Kinder lieben auch das Haus.,"Wenn wir es nicht kaufen, wird jemand anderes."
3273,"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.,"Wenn wir es nicht kaufen, wird jemand anderes.","- ich habe es gesehen, wenn ich es er"
3274,we can't afford this house.,are you sure?,Wir können uns dieses Haus nicht leisten.,sind Sie sicher?
3275,are you sure?,"we will be house rich, but cash poor.",sind Sie sicher?,"Wir werden Haus reich sein, aber Bargeld arm."
3276,"we will be house rich, but cash poor.",what do you mean?,"Wir werden Haus reich sein, aber Bargeld arm.",Was meinen Sie?
3277,what do you mean?,our monthly payments will be too high.,Was meinen Sie?,Unsere monatlichen Zahlungen werden zu hoch sein.
3278,our monthly payments will be too high.,we won't have any money for other things?,Unsere monatlichen Zahlungen werden zu hoch sein.,wir haben keine Geld für andere Dinge?
3279,we won't have any money for other things?,"no, we won't have money for gas or food.",wir haben keine Geld für andere Dinge?,"Nein, wir haben kein Geld für Gas oder Lebensmittel."
3280,"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?,"Nein, wir haben kein Geld für Gas oder Lebensmittel.",essen wir Peanut Butter Sandwiches?
3281,we'll be eating peanut butter sandwiches?,without the peanut butter!,essen wir Peanut Butter Sandwiches?,ohne die Peanut Butter!
3282,without the peanut butter!,that's no good!,ohne die Peanut Butter!,Das ist nicht gut!
3283,that's no good!,we have to find a cheaper house.,Das ist nicht gut!,Wir müssen ein billigeres Haus finden.
3284,we have to find a cheaper house.,of course. we can't live without gas or peanut butter.,Wir müssen ein billigeres Haus finden.,Natürlich können wir nicht ohne Gas oder Peanut Butter leben.
3285,that is a beautiful house.,i don't like it.,Das ist ein schönes Haus.,ich mag es nicht.
3286,i don't like it.,what's the matter with it?,ich mag es nicht.,Was ist die Sache damit?
3287,what's the matter with it?,it's on the corner.,Was ist die Sache damit?,es ist an der Ecke.
3288,it's on the corner.,so?,es ist an der Ecke.,so?
